鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,牙周病科,兒童牙科,牙髓病科,?復補綴牙科,牙體復形科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
0101,319,10,18,9,15,4,4,1,0,0,15,11,10,4,8,0,0,0,0,0,0,0,9,0,44,132,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
0102,932,30,28,22,21,34,8,5,0,5,27,23,28,17,18,3,1,0,1,1,0,1,59,0,209,309,0,0,3,1,1,1,0,1,1,0,126,1,0,0,0,0,0,0,0
0109,166,9,12,1,7,4,0,2,0,0,7,3,6,2,3,0,0,0,0,0,0,0,2,0,15,57,0,1,0,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0
0110,528,20,22,10,16,25,7,2,0,2,18,11,15,13,11,0,0,0,0,0,0,1,24,0,100,176,0,2,4,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
0111,286,11,21,6,14,9,5,2,0,3,14,15,9,6,11,2,0,0,1,1,0,0,3,0,40,113,0,3,2,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0
0112,91,9,3,1,5,2,2,0,0,0,8,2,2,1,3,0,0,0,0,0,0,0,0,0,10,38,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
0115,321,16,17,5,21,7,9,0,0,0,14,13,11,7,7,0,0,0,0,0,0,0,4,0,23,133,0,0,2,0,0,0,0,0,1,0,51,0,0,0,0,0,0,0,0
0116,208,15,19,4,13,4,3,3,0,0,11,9,9,3,8,1,0,0,0,0,0,1,2,0,13,76,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
0117,313,8,18,4,11,8,2,1,0,1,14,10,9,5,9,0,0,0,0,0,0,0,2,0,51,113,0,0,1,0,0,0,0,0,1,0,53,0,0,0,0,0,1,1,0
0118,298,14,13,8,6,8,1,2,0,0,13,9,7,8,8,0,0,0,0,0,0,1,12,1,44,113,0,2,2,0,0,0,0,0,0,0,53,1,0,0,0,1,0,0,0
0119,180,14,14,2,10,5,3,1,1,1,12,7,2,2,5,0,0,0,0,0,0,0,2,0,18,61,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
0120,208,13,12,0,13,5,2,1,0,2,11,11,5,3,7,0,0,0,0,0,0,0,2,0,15,80,0,1,1,1,2,2,0,1,3,0,39,0,0,0,0,0,0,0,0
0301,236,14,30,8,24,10,6,3,1,2,15,6,4,3,6,0,0,0,0,0,0,0,0,0,17,63,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0
0302,50,6,7,4,4,1,1,2,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0303,82,12,7,6,7,4,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
0304,70,3,10,3,5,4,0,2,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
0305,89,3,10,1,7,4,3,0,0,0,4,3,3,1,1,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
0306,22,5,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0307,43,3,6,1,3,3,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0308,40,1,5,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
0309,98,7,7,3,7,4,2,0,0,0,4,3,1,1,3,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
0310,78,7,6,3,6,2,2,0,0,0,4,2,2,2,3,0,0,0,0,0,0,0,0,0,5,26,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
0311,12,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0312,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0313,9,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0314,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0315,73,9,4,2,3,1,2,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
0316,36,1,4,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0317,46,9,4,0,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0318,52,3,3,0,6,2,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
0319,189,19,15,8,15,8,1,0,1,0,9,7,4,3,3,0,0,0,0,0,0,0,1,0,14,48,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
0320,220,18,10,5,15,6,4,1,0,0,15,3,4,4,6,0,0,0,0,0,0,0,0,0,23,63,0,0,1,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0
0321,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0322,48,3,6,3,3,7,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
0323,99,7,9,3,9,3,2,2,0,1,5,0,1,3,1,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,30,2,1,0,0,0,0,0,0
0324,330,18,22,10,20,17,4,2,1,1,9,7,12,5,2,0,0,0,2,0,0,0,14,0,43,96,0,1,0,0,0,0,0,0,0,0,64,1,1,0,0,0,0,0,0
0325,179,10,15,3,14,3,4,0,1,0,9,4,4,2,4,0,0,0,0,0,0,1,1,0,13,55,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,1,0,0
0326,304,16,24,14,19,9,7,6,0,3,13,7,9,3,5,0,0,0,0,0,0,0,5,0,24,92,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
0327,418,28,21,16,28,17,9,1,1,3,17,11,12,7,7,0,0,0,0,0,0,0,16,1,61,105,0,0,0,1,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
0328,381,26,21,19,28,13,9,0,1,6,16,11,6,6,7,0,1,0,0,0,0,0,9,0,50,99,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
0329,405,25,20,9,24,11,7,2,0,1,18,11,7,8,12,0,0,0,0,0,0,0,4,0,30,119,0,0,1,1,0,0,0,0,0,0,109,1,0,0,0,0,0,0,0
0501,111,9,15,4,13,6,2,1,0,2,4,5,4,1,2,0,0,0,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
0502,17,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0503,23,1,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0504,44,1,4,2,4,3,2,0,0,1,4,2,1,1,1,0,0,0,0,0,0,0,1,0,5,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0505,66,1,9,3,7,5,2,0,0,0,3,4,2,2,2,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0506,34,5,2,1,3,1,3,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0507,49,9,5,1,2,2,3,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0508,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0509,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0510,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0511,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0512,13,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0513,13,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0514,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0515,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0516,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0517,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0518,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0519,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0520,34,3,2,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0521,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0522,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0523,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0524,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0525,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0526,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0527,50,9,3,4,1,1,4,0,0,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0528,59,7,4,3,2,1,4,0,0,1,5,2,3,1,1,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0529,19,3,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0531,248,16,23,10,13,9,7,1,1,1,13,8,5,6,5,0,0,0,0,0,0,0,0,0,22,74,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
0532,327,15,24,6,20,10,7,5,0,4,14,12,10,9,11,2,1,0,0,0,0,0,7,0,18,111,0,1,7,3,3,3,0,3,3,0,64,11,4,4,5,7,6,5,4
