鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,兒童牙科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
3119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3121,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
3122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,14,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0
3124,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3125,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3126,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3127,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
3128,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3129,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3201,525,26,31,17,36,25,7,0,0,4,22,17,16,12,12,1,0,0,0,0,0,0,8,0,65,165,0,1,2,0,94,0,0,0,0,0,0,0,0
3202,396,22,27,7,25,12,12,3,1,1,17,15,8,6,5,1,0,0,0,0,0,0,5,1,56,119,0,0,1,0,82,0,0,0,0,0,0,0,0
3203,39,5,4,0,2,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,5,0,0,0,0,0,0,0,0
3204,84,11,5,0,5,2,2,1,0,0,5,3,1,1,2,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,18,0,0,0,0,0,0,0,0
3205,114,9,5,2,7,3,2,0,0,0,4,3,2,1,3,0,0,0,0,0,0,0,0,0,20,43,0,0,0,0,14,0,0,0,0,0,0,0,0
3206,40,4,1,5,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,5,0,0,0,0,0,0,0,0
3207,114,5,7,1,6,3,5,1,0,0,6,4,3,2,1,0,0,0,0,0,0,0,0,0,22,35,0,0,0,0,17,0,0,0,0,0,0,0,0
3208,113,9,12,3,8,3,2,3,0,1,9,5,2,2,5,0,1,0,0,0,0,0,1,0,12,35,0,0,0,0,17,0,0,0,0,0,0,0,0
3209,69,9,7,5,3,3,5,0,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,11,0,0,0,0,0,0,0,0
3210,85,8,6,2,4,0,1,2,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,14,31,0,0,0,0,18,0,0,0,0,0,0,0,0
3211,12,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0
3212,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,3,0,0,0,0,0,0,0,0
3213,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,18,3,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0
3302,14,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0
3303,75,3,11,4,9,4,2,0,0,0,4,3,2,2,2,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,13,0,0,0,0,0,0,0,0
3305,202,5,10,6,23,7,5,0,0,2,11,6,4,3,3,1,0,0,0,0,0,0,4,0,26,63,0,0,1,0,37,0,0,0,0,0,0,0,0
3306,42,1,3,0,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,9,0,0,0,0,0,0,0,0
3307,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3308,32,4,1,1,2,2,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,4,0,0,0,0,0,0,0,0
3309,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
3310,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3311,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
