鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,牙周病科,兒童牙科,牙髓病科,?復補綴牙科,牙體復形科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
101,307,9,17,8,15,4,4,1,0,0,15,11,10,4,8,0,0,0,0,0,0,0,8,0,37,129,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
102,913,33,27,23,19,33,8,5,1,5,27,22,25,16,19,3,0,0,1,1,0,1,59,0,195,311,0,0,3,1,1,1,0,1,1,0,123,1,0,0,0,0,0,0,0
109,163,10,13,1,6,4,0,2,0,0,7,3,6,1,4,0,0,0,0,0,0,0,2,0,8,57,0,1,0,1,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0
110,519,21,23,10,16,26,7,2,0,1,19,11,15,11,10,1,0,0,0,0,0,1,22,0,95,178,0,2,4,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
111,273,12,19,7,15,9,6,2,0,3,14,16,9,6,11,2,0,0,1,0,0,0,3,0,36,110,0,2,2,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0
112,88,9,3,1,5,2,2,0,0,0,9,2,2,1,3,0,0,0,0,0,0,0,0,0,8,35,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
115,312,15,16,5,21,7,9,0,0,0,14,13,11,6,7,0,0,0,0,0,0,0,4,0,19,134,0,0,2,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0
116,207,16,20,4,13,4,3,3,0,0,12,9,9,3,8,1,0,0,0,0,0,1,2,0,11,76,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
117,306,10,17,4,10,8,2,1,0,1,12,8,9,5,9,0,0,0,0,0,0,0,2,0,51,112,0,0,1,0,0,0,0,0,1,0,51,0,0,0,0,0,1,1,0
118,301,13,13,9,7,9,1,2,0,0,13,8,8,7,8,1,0,0,0,0,0,1,15,1,41,114,0,2,2,0,0,0,0,0,0,0,55,1,0,0,0,1,0,0,0
119,177,13,14,2,10,5,3,1,1,1,12,7,2,2,4,0,0,0,0,0,0,0,2,0,17,60,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
120,204,13,12,0,13,5,2,1,0,2,11,11,5,3,7,0,0,0,0,0,0,0,2,0,15,80,0,1,1,1,2,2,0,1,3,0,35,0,0,0,0,0,0,0,0
301,235,15,30,6,25,11,3,3,1,2,15,5,4,3,5,0,0,0,0,0,0,0,0,0,17,64,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0
302,51,6,7,4,4,1,1,2,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
303,83,12,7,6,7,4,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,17,1,0,1,0,0,0,0,0
304,69,4,10,3,4,4,0,2,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
305,85,4,9,1,6,4,3,0,0,0,4,3,3,2,1,0,0,0,0,0,0,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
306,18,5,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
307,44,3,6,1,3,3,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
308,40,2,6,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
309,101,7,7,5,7,4,3,0,0,0,4,3,1,1,3,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
310,79,7,7,3,7,2,2,0,0,0,4,2,2,2,3,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
311,14,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
312,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
313,10,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
314,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,72,9,4,2,4,1,2,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
316,36,1,4,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
317,47,8,4,0,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
318,52,3,3,0,6,2,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
319,180,18,16,7,15,8,1,0,1,0,9,7,4,2,2,0,0,0,0,0,0,0,1,0,12,46,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
320,218,18,10,5,15,5,4,0,1,0,15,3,4,3,6,0,0,0,0,0,0,0,0,0,24,62,0,0,1,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0
321,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,51,3,6,3,3,7,0,1,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0
323,95,7,9,3,8,3,2,2,0,1,5,0,1,3,1,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,31,2,1,0,0,0,0,0,0
324,326,20,21,9,22,18,3,2,1,0,9,7,11,4,2,0,0,0,1,0,0,0,13,0,41,93,0,1,0,0,0,0,0,0,0,0,68,1,1,0,0,0,0,0,0
